1,434,315
2,245,182
3,68,155
4,489,271
5,317,169
6,374,70
7,91,236
8,407,392
9,289,480
10,45,230
11,88,239
12,129,74
13,0,452
14,495,71
15,366,331
16,195,72
17,80,220
18,289,380
19,147,460
20,103,150
21,266,1
22,343,282
23,412,468
24,13,183
25,345,245
26,365,167
27,20,210
28,183,309
29,491,243
30,239,341
31,107,317
32,411,93
33,210,345
34,493,205
35,274,438
36,164,47
37,112,392
38,75,460
39,282,190
40,204,448
41,99,268
42,59,264
43,275,79
44,325,107
45,234,471
46,102,345
47,364,213
48,327,451
49,121,362
50,212,392
51,83,372
52,430,30
53,181,141
54,271,334
55,15,66
56,215,83
57,435,100
58,9,223
59,314,423
60,344,478
61,383,304
62,403,301
63,480,294
64,1,157
65,51,183
66,179,290
67,149,231
68,475,325
69,498,192
70,50,60
71,207,64
72,355,224
73,145,79
74,101,146
75,479,431
76,446,391
77,194,297
78,263,203
79,373,34
80,272,246
81,221,414
82,287,75
83,250,292
84,54,419
85,220,212
86,219,57
87,59,214
88,400,75
89,174,85
90,99,119
91,465,295
92,52,154
93,367,62
94,365,443
95,448,285
96,426,122
97,10,270
98,89,132
99,6,382
100,378,180
